PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,,End-End Delay
1,11,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10122089.6,10134297.6,10134297.6,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,11,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10134297.6,10146505.6,10146505.6,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,12,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10134298.56,10146506.56,10146506.56,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,12,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10146506.56,10158714.56,10158714.56,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,13,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10146507.52,10158715.52,10158715.52,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,13,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10158715.52,10170923.52,10170923.52,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,14,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10158716.48,10170924.48,10170924.48,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,14,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10170924.48,10183132.48,10183132.48,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,15,FTP,APP1_FTP,NODE-1,NODE-2,NODE-1,SWITCH-3,10000000,10000000,10000000,10000000,10170925.44,10183133.44,10183133.44,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
1,15,FTP,APP1_FTP,NODE-1,NODE-2,SWITCH-3,NODE-2,10000000,10000000,10000000,10000000,10183133.44,10195341.44,10195341.44,1472,1472,1480,1500,1526,0,Successful,10.0.1.2,10.0.1.3,10.0.1.2,10.0.1.3,,12208
